id,host,start,end,duration,duration.min
267589,acid.ocf.berkeley.edu,2017-09-01T17:47:02Z,2017-09-01T17:51:19Z,4M 17S,4
267603,acid.ocf.berkeley.edu,2017-09-01T17:58:02Z,2017-09-01T17:59:48Z,1M 46S,1
267605,acid.ocf.berkeley.edu,2017-09-01T18:02:02Z,2017-09-01T18:06:02Z,4M 0S,4
267618,acid.ocf.berkeley.edu,2017-09-01T18:08:01Z,2017-09-01T18:59:48Z,51M 47S,51
267710,acid.ocf.berkeley.edu,2017-09-01T19:09:02Z,2017-09-01T19:33:26Z,24M 24S,24
267755,acid.ocf.berkeley.edu,2017-09-01T19:36:02Z,2017-09-01T19:44:02Z,8M 0S,8
267769,acid.ocf.berkeley.edu,2017-09-01T19:48:02Z,2017-09-01T19:49:41Z,1M 39S,1
267774,acid.ocf.berkeley.edu,2017-09-01T19:54:02Z,2017-09-01T20:03:54Z,9M 52S,9
267782,acid.ocf.berkeley.edu,2017-09-01T20:09:02Z,2017-09-01T20:59:32Z,50M 30S,50
267824,acid.ocf.berkeley.edu,2017-09-01T21:03:02Z,2017-09-01T21:05:02Z,2M 0S,2
267827,acid.ocf.berkeley.edu,2017-09-01T21:08:01Z,2017-09-01T21:11:54Z,3M 53S,3
267847,acid.ocf.berkeley.edu,2017-09-01T21:23:01Z,2017-09-01T21:55:47Z,32M 46S,32
267872,acid.ocf.berkeley.edu,2017-09-01T21:58:02Z,2017-09-01T22:04:19Z,6M 17S,6
267891,acid.ocf.berkeley.edu,2017-09-01T22:17:02Z,2017-09-01T22:19:56Z,2M 54S,2
267897,acid.ocf.berkeley.edu,2017-09-01T22:23:02Z,2017-09-01T22:41:01Z,17M 59S,17
267946,acid.ocf.berkeley.edu,2017-09-01T23:22:01Z,2017-09-01T23:49:23Z,27M 22S,27
267976,acid.ocf.berkeley.edu,2017-09-02T00:11:02Z,2017-09-02T00:26:47Z,15M 45S,15
268000,acid.ocf.berkeley.edu,2017-09-02T00:53:02Z,2017-09-02T00:55:23Z,2M 21S,2
268003,acid.ocf.berkeley.edu,2017-09-02T00:56:02Z,2017-09-02T00:58:16Z,2M 14S,2
268036,acid.ocf.berkeley.edu,2017-09-02T18:21:01Z,2017-09-02T18:24:38Z,3M 37S,3
268094,acid.ocf.berkeley.edu,2017-09-02T21:20:02Z,2017-09-02T21:21:43Z,1M 41S,1
268110,acid.ocf.berkeley.edu,2017-09-02T21:48:01Z,2017-09-02T21:58:09Z,10M 8S,10
268121,acid.ocf.berkeley.edu,2017-09-02T22:28:03Z,2017-09-02T22:29:06Z,1M 3S,1
268125,acid.ocf.berkeley.edu,2017-09-02T22:39:02Z,2017-09-02T22:43:13Z,4M 11S,4
268133,acid.ocf.berkeley.edu,2017-09-02T23:00:02Z,2017-09-02T23:06:56Z,6M 54S,6
268137,acid.ocf.berkeley.edu,2017-09-02T23:18:02Z,2017-09-02T23:31:09Z,13M 7S,13
268143,acid.ocf.berkeley.edu,2017-09-02T23:38:02Z,2017-09-03T01:11:16Z,1H 33M 14S,93
268163,acid.ocf.berkeley.edu,2017-09-03T01:12:02Z,2017-09-03T01:37:58Z,25M 56S,25
268168,acid.ocf.berkeley.edu,2017-09-03T01:39:02Z,2017-09-03T01:46:30Z,7M 28S,7
268172,acid.ocf.berkeley.edu,2017-09-03T01:53:02Z,2017-09-03T01:55:26Z,2M 24S,2
268185,acid.ocf.berkeley.edu,2017-09-03T18:03:03Z,2017-09-03T18:25:45Z,22M 42S,22
268208,acid.ocf.berkeley.edu,2017-09-03T19:13:01Z,2017-09-03T19:13:48Z,47S,0
268249,acid.ocf.berkeley.edu,2017-09-03T20:52:02Z,2017-09-03T20:55:19Z,3M 17S,3
268251,acid.ocf.berkeley.edu,2017-09-03T20:56:02Z,2017-09-03T20:57:21Z,1M 19S,1
268255,acid.ocf.berkeley.edu,2017-09-03T21:02:03Z,2017-09-03T21:02:55Z,52S,0
268311,acid.ocf.berkeley.edu,2017-09-04T00:11:02Z,2017-09-04T00:18:58Z,7M 56S,7
268351,acid.ocf.berkeley.edu,2017-09-04T20:08:03Z,2017-09-04T21:15:30Z,1H 7M 27S,67
268387,acid.ocf.berkeley.edu,2017-09-05T04:37:02Z,2017-09-05T04:45:07Z,8M 5S,8
268396,acid.ocf.berkeley.edu,2017-09-05T16:09:03Z,2017-09-05T16:22:32Z,13M 29S,13
268459,acid.ocf.berkeley.edu,2017-09-05T16:40:02Z,2017-09-05T16:41:46Z,1M 44S,1
268465,acid.ocf.berkeley.edu,2017-09-05T16:44:02Z,2017-09-05T17:24:14Z,40M 12S,40
268536,acid.ocf.berkeley.edu,2017-09-05T17:38:03Z,2017-09-05T17:47:58Z,9M 55S,9
268552,acid.ocf.berkeley.edu,2017-09-05T17:49:02Z,2017-09-05T17:51:34Z,2M 32S,2
